symbol,composite_score,alpha_factors_score,ml_features_score,technical_score,sentiment_score,ml_predictor_score,confidence,num_factors,weight,last_price,target_qty,current_qty,delta,side,order_status,order_id,reason
CIO,0.0879084084096307,0.12803772667183322,0.0,0.0,-0.03247954637697684,0.0,0.3333333333333333,90,0.0,6.88,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CISO,-0.14925317876303898,0.1169229192038865,0.0,0.0,-0.9477814726638153,0.0,0.3333333333333333,90,0.0,0.6284,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIVB,0.08828835752589684,0.15928099093986592,0.0,0.0,-0.12468954271601039,0.0,0.3333333333333333,90,0.0,21.39,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CIVI,0.1442886893114038,0.144894773070668,0.0,0.0,0.14247043803361104,0.0,0.3333333333333333,90,0.0,28.685,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CL,0.17453177179659574,0.2225288965027007,0.0,0.0,0.03054039767828092,0.0,0.3333333333333333,90,0.0,79.04,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLAR,0.10600974807361675,0.1847039475678536,0.0,0.0,-0.1300728504090938,0.0,0.3333333333333333,90,0.0,3.35,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLBK,0.037185152436300654,0.11014263565925363,0.0,0.0,-0.18168729723255822,0.0,0.3333333333333333,90,0.0,14.68,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLDT,0.04619858192957282,0.14812158468683156,0.0,0.0,-0.2595704263422034,0.0,0.3333333333333333,90,0.0,6.505,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLDX,0.2395467729427146,0.20629435801605134,0.0,0.0,0.33930401772270435,0.0,0.3333333333333333,90,0.0,25.91,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLF,0.2075596573535207,0.22503654864014375,0.0,0.0,0.15512898349365162,0.0,0.3333333333333333,90,0.0,11.375,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLFD,-0.08543881799211832,0.06370744383851844,0.0,0.0,-0.5328776034840285,0.0,0.3333333333333333,90,0.0,29.55,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLH,0.08734781556274078,0.12099889465252056,0.0,0.0,-0.013605421706598559,0.0,0.3333333333333333,90,0.0,207.06,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLM,0.06484237748168513,0.13009057683421546,0.0,0.0,-0.1309022205759058,0.0,0.3333333333333333,90,0.0,8.135,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLMB,0.012791599983608093,0.0897826648020683,0.0,0.0,-0.21818159447177252,0.0,0.3333333333333333,87,0.0,102.57,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLMT,0.14541724866460956,0.19829159245436878,0.0,0.0,-0.013205782704668144,0.0,0.3333333333333333,90,0.0,18.88,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLNE,0.08387449500331742,0.15601558946804947,0.0,0.0,-0.1325487883908787,0.0,0.3333333333333333,90,0.0,2.19,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLNNW,-0.03946610114776663,-0.0345233413894293,0.0,0.0,-0.05429438042277862,0.0,0.3333333333333333,83,0.0,0.0091,0,0,0,hold,hold,,"No delta (current=0, target=0)"
CLOV,-0.0004214511424870255,0.11366970079850408,0.0,0.0,-0.3426949069654603,0.0,0.3333333333333333,90,0.0,2.34,0,0,0,hold,hold,,"No delta (current=0, target=0)"
