symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
PSNY,0.1118847585663502,0.0,0.0,0.0,-0.5574992560923699,0.0,-0.05546124509832986,0.2857142857142857,90
RNW,0.16029981300306778,0.0,0.0,0.0,0.1082695950991118,0.0,0.1472922585270788,0.2857142857142857,90
SAP,0.043231879230217526,0.0,0.0,0.0,-0.2681518783792119,0.0,-0.03461406017213984,0.2857142857142857,90
STLA,0.16826575471140365,0.0,0.0,0.0,-0.4136444421871355,0.0,0.022788205486768857,0.2857142857142857,90
TEL,0.29041990840951803,0.0,0.0,0.0,-0.07054056937397979,0.0,0.20017978896364358,0.2857142857142857,90
TRMD,0.2919113682386403,0.0,0.0,0.0,-0.02391368307154441,0.0,0.2129551054110941,0.2857142857142857,90
UBS,0.13193013366564743,0.0,0.0,0.0,-0.11088083090501868,0.0,0.0712273925229809,0.2857142857142857,90
ACIU,0.24177815813664244,0.0,0.0,0.0,-0.20567907353443546,0.0,0.12991385021887297,0.2857142857142857,90
ACP,0.15356628459969046,0.0,0.0,0.0,-0.09165381973583016,0.0,0.09226125851581031,0.2857142857142857,90
ADCT,0.23473030699627256,0.0,0.0,0.0,-0.04307677402926556,0.0,0.16527853673988804,0.2857142857142857,90
ALV,0.19370047492585366,0.0,0.0,0.0,-0.25096907394460966,0.0,0.08253308770823782,0.2857142857142857,90
BCYC,0.13001513507975482,0.0,0.0,0.0,-0.2592950911449353,0.0,0.03268757852358228,0.2857142857142857,90
CAPT,0.30315142611331475,0.0,0.0,0.0,-0.3655484611571817,0.0,0.13597645429569064,0.2857142857142857,88
CB,0.3664436139457365,0.0,0.0,0.0,-0.03695641915636636,0.0,0.26559360567021084,0.2857142857142857,90
CSTM,0.15504979411399775,0.0,0.0,0.0,-0.24686728576305586,0.0,0.05457052414473433,0.2857142857142857,90
DB,0.2817230084083352,0.0,0.0,0.0,-0.40833058827769236,0.0,0.10920960923682829,0.2857142857142857,90
FER,0.2065823365937945,0.0,0.0,0.0,-0.13226931732304203,0.0,0.12186942311458536,0.2857142857142857,90
FTI,0.42615844512302425,0.0,0.0,0.0,0.09065947777704078,0.0,0.3422837032865284,0.2857142857142857,90
GSL,0.4228211592206604,0.0,0.0,0.0,0.10766925913824914,0.0,0.3440331842000576,0.2857142857142857,90
HSBC,0.29156416330840706,0.0,0.0,0.0,-0.267465280253992,0.0,0.15180680241780728,0.2857142857142857,90
IMCR,0.334107112771201,0.0,0.0,0.0,0.3943655884906617,0.0,0.34917173170106613,0.2857142857142857,90
INDV,0.4458462762289014,0.0,0.0,0.0,0.4377183287947973,0.0,0.44381428937037537,0.2857142857142857,90
LBTYA,0.17431550500225435,0.0,0.0,0.0,0.08806126567480393,0.0,0.15275194517039173,0.2857142857142857,90
LXFR,0.09065217083784793,0.0,0.0,0.0,-0.22556162280249936,0.0,0.011598722427761098,0.2857142857142857,90
LYG,0.26016866395054294,0.0,0.0,0.0,-0.25573394380008957,0.0,0.13119301201288483,0.2857142857142857,90
MRUS,0.3252339129626999,0.0,0.0,0.0,-0.002601586304990004,0.0,0.24327503814577742,0.2857142857142857,90
NBIS,0.1868046651355061,0.0,0.0,0.0,0.3496471927692209,0.0,0.22751529704393478,0.2857142857142857,90
PRQR,0.08980335602339211,0.0,0.0,0.0,-0.28277682569099527,0.0,-0.00334168940520474,0.2857142857142857,90
RELX,0.09851484285812052,0.0,0.0,0.0,-0.19482203320815067,0.0,0.02518062384155272,0.2857142857142857,90
SLN,0.25941390330682035,0.0,0.0,0.0,-0.3408663654112477,0.0,0.10934383612730332,0.2857142857142857,89
SNN,0.12431408910036361,0.0,0.0,0.0,-0.11311575556872225,0.0,0.06495662793309213,0.2857142857142857,90
STM,0.07479341443934238,0.0,0.0,0.0,-0.2929476507864715,0.0,-0.0171418518671111,0.2857142857142857,90
VEON,0.35641761250445975,0.0,0.0,0.0,0.3638160626767044,0.0,0.35826722504752095,0.2857142857142857,89
