symbol,alpha_factors_score,ml_features_score,technical_score,fundamental_score,sentiment_score,ml_predictor_score,composite_score,confidence,num_factors_computed
HERE,0.07326046441317074,0.0,0.0,0.0,-0.504304580799845,0.0,-0.07113079689008321,0.2857142857142857,90
KARO,0.07135673507549437,0.0,0.0,0.0,-0.32871572918645364,0.0,-0.028661380989992647,0.2857142857142857,89
LI,0.05479607083661325,0.0,0.0,0.0,-0.43158868775875564,0.0,-0.06680011881222898,0.2857142857142857,90
MHUA,0.14615971940882908,0.0,0.0,0.0,0.010743033174638105,0.0,0.11230554785028132,0.2857142857142857,88
NMR,0.22934648833295074,0.0,0.0,0.0,-0.2185627654286225,0.0,0.11736917489255742,0.2857142857142857,90
NTCL,0.1835466611225882,0.0,0.0,0.0,-0.24689246502029624,0.0,0.07593687958686708,0.2857142857142857,88
PONY,0.09525100747555865,0.0,0.0,0.0,-0.31752830001458543,0.0,-0.007943819396977388,0.2857142857142857,90
SE,0.13357719646077074,0.0,0.0,0.0,0.12597503719468717,0.0,0.13167665664424985,0.2857142857142857,90
TOYO,0.1932047929573538,0.0,0.0,0.0,-0.5271269156195928,0.0,0.013121865813117113,0.2857142857142857,88
VNET,0.16801856569656756,0.0,0.0,0.0,-0.261724615561985,0.0,0.06058277038192942,0.2857142857142857,90
XPEV,0.28756301520154515,0.0,0.0,0.0,-0.7569402916648207,0.0,0.026437188484953664,0.2857142857142857,90
YB,0.06182566960526374,0.0,0.0,0.0,-0.004870882082087552,0.0,0.04515153168342592,0.2857142857142857,88
YYGH,0.10688957812536277,0.0,0.0,0.0,-0.13846447844168897,0.0,0.045551063983599836,0.2857142857142857,89
BYAH,0.034170898322325796,0.0,0.0,0.0,-0.05493137609017597,0.0,0.011895329719200353,0.2857142857142857,89
CNET,0.04462131100073448,0.0,0.0,0.0,-0.6040387935108144,0.0,-0.11754371512715274,0.2857142857142857,82
DQ,0.35708518790637944,0.0,0.0,0.0,-0.08029379982635611,0.0,0.24774044097319553,0.2857142857142857,90
DSY,0.051640483706435786,0.0,0.0,0.0,-0.5330702628671385,0.0,-0.09453720293695782,0.2857142857142857,89
DTCK,0.21827862349573818,0.0,0.0,0.0,-0.979171524599782,0.0,-0.08108391352814188,0.2857142857142857,89
ELWS,0.376241942379094,0.0,0.0,0.0,0.2110649744411717,0.0,0.3349477003946134,0.2857142857142857,89
GCL,0.059697366209631036,0.0,0.0,0.0,-0.4222692056944155,0.0,-0.06079427676638061,0.2857142857142857,89
GRVY,0.09634914801816181,0.0,0.0,0.0,-0.15328147850368748,0.0,0.03394149138769949,0.2857142857142857,87
GSUN,0.07938653621750513,0.0,0.0,0.0,-0.6721237307264615,0.0,-0.10849103051848653,0.2857142857142857,89
GTEC,0.1809913279674541,0.0,0.0,0.0,0.21957952009677736,0.0,0.19063837599978492,0.2857142857142857,89
HXHX,0.3010215925268492,0.0,0.0,0.0,0.9811366587611959,0.0,0.47105035908543585,0.2857142857142857,88
KEP,0.4183220361835056,0.0,0.0,0.0,-0.024019403239087817,0.0,0.30773667632785723,0.2857142857142857,90
LRE,0.15551518503080222,0.0,0.0,0.0,-0.391469094264161,0.0,0.018769115207061402,0.2857142857142857,88
LX,0.12835716275084727,0.0,0.0,0.0,-0.5649653355836585,0.0,-0.04497346183277919,0.2857142857142857,90
NIO,0.06229909619834812,0.0,0.0,0.0,-0.3704403917229841,0.0,-0.045885775781984946,0.2857142857142857,90
SKK,0.10475835534466822,0.0,0.0,0.0,-0.533846032007777,0.0,-0.05489274149344311,0.2857142857142857,88
SKM,0.1743891627705889,0.0,0.0,0.0,-0.1232958435056483,0.0,0.09996791120152959,0.2857142857142857,90
SOHU,0.22779782932762296,0.0,0.0,0.0,0.040877005116095086,0.0,0.181067623274741,0.2857142857142857,89
TIGR,0.1339806583348992,0.0,0.0,0.0,-0.7389233933271773,0.0,-0.08424535458061995,0.2857142857142857,90
VIOT,0.19917037188007833,0.0,0.0,0.0,-0.28486495525911637,0.0,0.07816154009527963,0.2857142857142857,90
WETH,0.35167801239621804,0.0,0.0,0.0,-0.3311590902429723,0.0,0.18096873673642044,0.2857142857142857,88
WNW,0.10787405532681933,0.0,0.0,0.0,-0.8113449606761459,0.0,-0.121930698673922,0.2857142857142857,86
WTO,0.0597352850064033,0.0,0.0,0.0,0.5955833477359458,0.0,0.19369730068878896,0.2857142857142857,89
WXM,0.03293193150996912,0.0,0.0,0.0,0.3009763397773063,0.0,0.09994303357680343,0.2857142857142857,89
YSXT,0.2018084883499019,0.0,0.0,0.0,-0.6575366182603706,0.0,-0.01302778830266624,0.2857142857142857,88
ADAG,0.19243020562269197,0.0,0.0,0.0,0.05612074554910251,0.0,0.1583528406042946,0.2857142857142857,89
ATHM,0.06126031228782633,0.0,0.0,0.0,-0.24151254629804533,0.0,-0.014432902358641595,0.2857142857142857,90
AZI,0.2246049985863187,0.0,0.0,0.0,0.07650117787973185,0.0,0.187579043409672,0.2857142857142857,90
BDMD,0.15221254509445784,0.0,0.0,0.0,0.4093104414564394,0.0,0.21648701918495325,0.2857142857142857,89
CGTL,0.35203209514471545,0.0,0.0,0.0,0.8357792452398902,0.0,0.47296888266850917,0.2857142857142857,89
CLIK,0.358434538326517,0.0,0.0,0.0,0.5195751134679519,0.0,0.39871968211187575,0.2857142857142857,88
EDU,0.09498570872236237,0.0,0.0,0.0,-0.0700862710886729,0.0,0.053717713769603555,0.2857142857142857,90
FINV,0.1625114039459191,0.0,0.0,0.0,-0.3917852676957013,0.0,0.02393723603551397,0.2857142857142857,90
GRND,0.21988849639216032,0.0,0.0,0.0,-0.19409608304235704,0.0,0.11639235153353096,0.2857142857142857,90
KXIN,0.12448678843673511,0.0,0.0,0.0,-0.9851727675892191,0.0,-0.1529281005697535,0.2857142857142857,89
MATH,0.28315454367551596,0.0,0.0,0.0,0.2154829072302137,0.0,0.26623663456419044,0.2857142857142857,89
MFG,0.2339472384577387,0.0,0.0,0.0,-0.15375250828998965,0.0,0.13702230177080663,0.2857142857142857,90
MNY,0.13297218630371327,0.0,0.0,0.0,-0.18178060555142514,0.0,0.05428398833992866,0.2857142857142857,89
NAMI,0.06666844230282154,0.0,0.0,0.0,-0.41012792687851657,0.0,-0.052530649992513,0.2857142857142857,87
ORKT,0.19327258719494506,0.0,0.0,0.0,-0.6649832552376328,0.0,-0.021291373413199425,0.2857142857142857,87
